
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 3:27:35 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:21:10 PM;20;24;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-0.439, 0.000, -0.897);39.302
7/30/2022 1:21:14 PM;21;25;lm6front;lm1(RoofPiece_A);(0.518, 0.000, -0.856);(-0.066, 0.000, -0.998);34.929
7/30/2022 1:21:14 PM;22;26;lm6front;lm2(Barn);(0.393, 0.000, -0.920);(-0.090, 0.000, -0.996);28.283
7/30/2022 1:21:14 PM;23;27;lm6front;lm3(Car);(0.985, 0.000, -0.165);(-0.096, 0.000, -0.995);86.010
7/30/2022 1:21:15 PM;24;29;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(-0.085, 0.000, -0.996);151.330
7/30/2022 1:21:16 PM;25;30;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(-0.089, 0.000, -0.996);151.513
7/30/2022 1:21:20 PM;26;31;lm3front;lm1(RoofPiece_A);(-0.129, 0.000, -0.992);(0.057, 0.000, -0.998);10.719
7/30/2022 1:21:21 PM;27;32;lm3front;lm2(Barn);(-0.375, 0.000, -0.927);(-0.110, 0.000, -0.992);15.655
7/30/2022 1:21:21 PM;28;33;lm3front;lm4(Fcapsule);(0.104, 0.000, 0.995);(-0.147, 0.000, -0.988);177.500
7/30/2022 1:21:22 PM;29;34;lm3front;lm5(CobbleRock_E);(-0.482, 0.000, 0.876);(-0.171, 0.000, -0.985);141.344
7/30/2022 1:21:22 PM;30;36;lm3front;lm6(Struct_Pavilion_B);(-0.986, 0.000, 0.164);(-0.159, 0.000, -0.986);90.326
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:23:54 PM;;;;;;;
7/30/2022 1:24:37 PM;0;1;lm1front;lm2(Barn);(-0.901, 0.000, 0.423);(-0.860, 0.000, 0.499);4.969
7/30/2022 1:24:41 PM;1;2;lm1front;lm3(Car);(0.151, 0.000, 0.988);(-0.775, 0.000, 0.626);59.767
7/30/2022 1:24:43 PM;2;3;lm1front;lm4(Fcapsule);(0.118, 0.000, 0.993);(-0.754, 0.000, 0.650);55.989
7/30/2022 1:24:44 PM;3;4;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(-0.757, 0.000, 0.648);40.349
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:29:55 PM;;;;;;;
7/30/2022 1:30:19 PM;0;1;lm1front;lm2(Barn);(-0.901, 0.000, 0.423);(-0.997, 0.000, 0.049);22.311
7/30/2022 1:30:20 PM;1;2;lm1front;lm3(Car);(0.151, 0.000, 0.988);(-0.997, 0.000, 0.046);96.024
7/30/2022 1:30:20 PM;2;3;lm1front;lm4(Fcapsule);(0.118, 0.000, 0.993);(-0.995, 0.000, 0.068);92.843
7/30/2022 1:30:21 PM;3;4;lm1front;lm5(CobbleRock_E);(-0.158, 0.000, 0.987);(-0.994, 0.000, 0.079);76.319
7/30/2022 1:30:27 PM;4;5;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.994, 0.000, 0.091);53.044
7/30/2022 1:30:32 PM;5;6;lm1front;lm6(Struct_Pavilion_B);(-0.526, 0.000, 0.850);(-0.998, 0.000, 0.046);55.626
7/30/2022 1:30:35 PM;6;8;lm4front;lm2(Barn);(-0.291, 0.000, -0.957);(-0.996, 0.000, 0.085);77.930
7/30/2022 1:30:36 PM;7;9;lm4front;lm3(Car);(-0.096, 0.000, -0.994);(-0.996, 0.000, 0.088);89.538
7/30/2022 1:30:36 PM;8;10;lm4front;lm5(CobbleRock_E);(-0.936, 0.000, 0.350);(-0.995, 0.000, 0.089);15.405
7/30/2022 1:30:36 PM;9;11;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-0.995, 0.000, 0.090);29.768
